Dataset,Paper Title,Year,Publisher,Paper Link,Project Link,Description,Size & Content,Indoor/Outdoor,Real/Synthetic,Modalities,No. Classes,Tasks,No. Papers,No. Benchmarks,Column1,checked?
Paris-Lille 3D,Paris-Lille-3D: a large and high-quality ground truth urban point cloud dataset for automatic segmentation and classification,2018,IJRR,https://arxiv.org/abs/1712.00032,Datahttps//npm3d.fr/paris-lille-3d,Dataset and a Benchmark on Point Cloud Classification,50 different classes; around 2km of Mobile Laser System point cloud acquired in two cities in France (Paris and Lille),outdoor,,,50,Semantic Segmentation; Few-Shot Learning; 3D Semantic Segmentation; LIDAR Semantic Segmentation,14,1,,
PartNet,PartNet: A Large-scale Benchmark for Fine-grained and Hierarchical Part-level 3D Object Understanding,2019,CVPR,https://arxiv.org/pdf/1812.02713v1,https//partnet.cs.stanford.edu,consistent; large-scale dataset of 3D objects annotated with fine-grained; instance-level; and hierarchical 3D part information,573;585 part instances over 26;671 3D models covering 24 object categories,indoor,real,,,(3D) Semantic Segmentation; (3D) Instance Segmentation,136,3,,
PartNet-Mobility,SAPIEN: A SimulAted Part-based Interactive ENvironment,2020,CVPR,https://arxiv.org/pdf/2003.08515v1,https//sapien.ucsd.edu,Dataset produced for the SAPIEN (SimulAted Part-based Interactive Environment) simulation environment; large-scale 3D interactive model datase,over 14K articulated parts over 2;346 object models from 46 common indoor object categories; All models are collected from 3D Warehouse and organized as in ShapeNet and PartNet; 3 types of motions: hinge; slider; and screw; where hinge indicates rotation around an axis (e.g. doors); slider indicates translation along an axis (e.g. drawers); and screw indicates a combined hinge and slider (e.g. bottle caps; swivel chairs),indoor,synthetic,,,3D Pose Estimation; 3D Shape Modeling; 3D Feature Matching; Articulated Object Modelling,62,1,,
PASCAL3D+,Beyond PASCAL: A benchmark for 3D object detection in the wild,2014,WACV,https://ieeexplore.ieee.org/document/6836101,https//cvgl.stanford.edu/projects/pascal3d.html,multi-view dataset consists of images in the wild,12 categories of rigid objects selected from the PASCAL VOC 2012 dataset; These objects are annotated with pose information (azimuth; elevation and distance to camera); Pascal3D+ also adds pose annotated images of these 12 categories from the ImageNet dataset.,mixed,synthetic,CAD models from Google 3D Warehouse; images from PASCAL and ImageNet,12,Object Detection; Pose Estimation; Keypoint Detection; Viewpoint Estimation,235,1,,c
PASCAL Context,The Role of Context for Object Detection and Semantic Segmentation in the Wild,2014,CVPR,https://openaccess.thecvf.com/content_cvpr_2014/papers/Mottaghi_The_Role_of_2014_CVPR_paper.pdf,https//cs.stanford.edu/~roozbeh/pascal-context/,extension of the PASCAL VOC 2010 detection challenge; contains pixel-wise labels for all training images,more than 400 classes (including the original 20 classes plus backgrounds from PASCAL VOC segmentation); divided into 3 categories (objects; stuff; and hybrids); Many of the object categories of this dataset are too sparse and; therefore; a subset of 59 frequent classes are usually selected for use,mixed,,,,Semantic Segmentation; Zero-Shot Learning; Saliency Detection; Surface Normals Estimation; Human Parsing; Boundary Detection,297,6,,
Pascal Panoptic Parts,Part-aware Panoptic Segmentation,2021,CVPR,https://arxiv.org/pdf/2106.06351v1,https//hub.com/pmeletis/panoptic_parts,The Pascal Panoptic Parts dataset consists of annotations for the part-aware panoptic segmentation task on the PASCAL VOC 2010 dataset; It is created by merging scene-level labels from PASCAL-Context with part-level labels from PASCAL-Part,PASCAL-Context + partl-level labels from PASCAL-PART,mixed,,,,Scene Understanding; Panoptic Segmentation; Image Segmentation; Human Part Segmentation; Part-aware Panoptic Segmentation,9,2,,
PASCAL VOC (PASCAL Visual Object Classes Challenge),The PASCAL Visual Object Classes (VOC) Challenge,2021,ICCV,https://arxiv.org/pdf/2012.07131v2,http//host.robots.ox.ac.uk/pascal/VOC/,The PASCAL Visual Object Classes (VOC) 2012 dataset contains 20 object categories; This dataset has been widely used as a benchmark for object detection-semantic segmentation-classification tasks, images were collected from the flickr photo-sharing web-site; 20 object categories (incl. vehicles; household; animals; and other: aeroplane; bicycle; boat; bus; car; motorbike; train; bottle; chair; dining table; potted plant; sofa; TV/monitor; bird; cat; cow; dog; horse; sheep; person); Each image in this dataset has pixel-level segmentation annotations-bounding box annotations-object class annotations;  split into three subsets: 1464 images for training - 1449 images for validation - private testing set,mixed,real,images collected from flickr ,20,Object Detection; Semantic Segmentation; Node Classification; Object Counting; Graph Matching…,184,22,,c
PedX,PedX: Benchmark Dataset for Metric 3D Pose Estimation of Pedestrians in Complex Urban Intersections,2019,RA-L,https://arxiv.org/pdf/1809.03605v1,https//umfordav.squarespace.com/projects/pedestrian-perception,large-scale multi-modal collection of pedestrians at complex urban intersections,more than 5;000 pairs of high-resolution (12MP) stereo images and LiDAR data along with providing 2D and 3D labels of pedestrians,outdoor,,,,(3D) Pose Estimation; Autonomous Driving,5,0,,
PhotoShape,PhotoShape: Photorealistic Materials for Large-Scale Shape Collections,2018,TOG,https://arxiv.org/pdf/1809.09761v1,https//photoshape.hub.io,dataset consists of photorealistic; relightable; 3D shapes produced by the work proposed in the work of Park et al. (2021); 3 types of datasets used: shape; photo; and texture collections; focus on chairs,a) Shapes used: 5;740 3D models from ShapeNet and 90 models from Herman Miller; b) Photos used: 40;927 product photos that were collected from the Herman Miller website (1820 images) and image search engines (Google and Bing; 39107 images); c) Textures used:  48 leathers; 154 fabrics; 105 woods; 86 metals; and 60 plastics,indoor,,,,Novel View Synthesis,21,1,,
PhraseCut,PhraseCut: Language-based Image Segmentation in the Wild,2020,CVPR,https://arxiv.org/pdf/2008.01187v1,https//people.cs.umass.edu/~chenyun/publication/phrasecut/,problem of segmenting image regions given a natural language phrase,77;262 images and 345;486 phrase-region pairs; dataset is collected on top of the Visual Genome dataset and uses the existing annotations,mixed,,,,Semantic Segmentation; Referring Expression Segmentation,26,1,,
PIE (Pedestrian Intention Estimation),PIE: A Large-Scale Dataset and Models for Pedestrian Intention Estimation and Trajectory Prediction,2019,ICCV,https://openaccess.thecvf.com/content_ICCV_2019/papers/Rasouli_PIE_A_Large-Scale_Dataset_and_Models_for_Pedestrian_Intention_Estimation_ICCV_2019_paper.pdf,https//data.nvision2.eecs.yorku.ca/PIE_dataset/,dataset for studying pedestrian behavior in traffic,over 6 hours of footage recorded in typical traffic scenes with on-board camera; provides accurate vehicle information from OBD sensor (vehicle speed; heading direction and GPS coordinates) synchronized with video footage; spatial and behavioral annotations are available for pedestrians and vehicles that potentially interact with the ego-vehicle as well as for the relevant elements of infrastructure (traffic lights; signs and zebra crossings); over 300K labeled video frames with 1842 pedestrian samples ,outdoor,real,,,Trajectory Prediction; Multi-future Trajectory Prediction; Trajectory Forecasting; Pedestrian Trajectory Prediction,6,2,,
Pix3D,Pix3D: Dataset and Methods for Single-Image 3D Shape Modeling,2018,CVPR,https://arxiv.org/pdf/1804.04610v1,http//pix3d.csail.mit.edu,large-scale benchmark of diverse image-shape pairs with pixel-level 2D-3D alignment; wide applications in shape-related tasks including reconstruction; retrieval; viewpoint estimation; etc.,395 3D shapes of nine object categories. Each shape associates with a set of real images; capturing the exact object in diverse environments. Further; the 10;069 image-shape pairs have precise 3D annotations; giving pixel-level alignment between shapes and their silhouettes in the images,,,,,Pose Estimation; 3D Shape Reconstruction; 3D Shape Modelling; 3D Shape Classification,133,5,,
PointCleanNet,POINTCLEANNET: Learning to Denoise and Remove Outliers from Dense Point Clouds,2019,CGF,https://arxiv.org/pdf/1901.01060v3,https//www.lix.polytechnique.fr/Labo/Marie-Julie.RAKOTOSAONA/pointcleannet.html,data-driven method for removing outliers and reducing noise in unordered point clouds,28 different shapes; which we split into 18 training shapes and 10 test shapes,,,,,Outliers Removal; Denoising,1,0,,
PointCloud-C,Benchmarking and Analyzing Point Cloud Classification under Corruptions,2022,PMLR,https://arxiv.org/pdf/2202.03377v3,https//pointcloud-c.hub.io/home.html,test-suite for point cloud robustness analysis under corruptions,Two sets: ModelNet-C for point cloud classification and ShapeNet-C for part segmentation; Real-world corruption sources; ranging from object-; senor-; and processing-levels; 7 types of corruptions; each with 5 severity levels; benchmark with more than 20 point cloud recognition algorithms; Methods ranging from architecture design; augmentations; and pre-training,,,,,Point Cloud Classification; Point Cloud Segmentation,21,2,,
PolyU-BPCoMa (HK PolyU Backpack Colorized Mapping),PolyU-BPCoMa: A dataset and benchmark towards mobile colorized mapping using a backpack multisensorial system,2022,Int. J. Appl. Earth Obs. Geoinf.,https://arxiv.org/pdf/2206.07468v2,https//hub.com/chenpengxin/PolyU-BPCoMa,A Dataset and Benchmark Towards Mobile Colorized Mapping Using a Backpack Multisensorial System,surveyed areas include outdoor terrace; indoor office; corridor; staircase and underground tunnel;  two data sequences with different traverse paths and walking speeds for each area;  data formats: a) ROS bag; b) LiDAR data -> single 360° sweep; c) Image data; d) GNSS/IMNU data,outdoor,,,,Simultaneous Localization and Mapping,1,0,,
Pomposa Abbey (IT), A hierarchical machine learning approach for multi-level and multi-resolution 3D point cloud classification,2020, Remote Sens.,https://www.mdpi.com/2072-4292/12/16/2598/pdf,,heritage scenario; features a large amount of 3D points; a great diversity of geometries and styles; a richness in decoration and a lack in the regularity of the architectural elements,Basilica; typical Ravenna style; external areas: TOF (Leica C10); 21 aqcuisitions; 161 mil. 3D points; 5.2 mm mean resolution; 2.5 cm subsampling; internal spaces: TOF Faro Focus X120; 31 aqcuisitions; 580 mil. 3D points; 10 mm mean res.; 2.5 cm subsampling,outdoor,,,,point cloud classification,?,,,
PreSIL (Precise Synthetic Image and LiDAR),Precise Synthetic Image and LiDAR (PreSIL) Dataset for Autonomous Vehicle Perception,2019,IV,https://arxiv.org/pdf/1905.00160v2,https//uwaterloo.ca/waterloo-intelligent-systems-engineering-lab/projects/precise-synthetic-image-and-lidar-presil-dataset-autonomous,dataset for autonomous vehicle perception; precise LiDAR simulator within GTA V which collides with detailed models for all entities no matter the type or position,over 50;000 frames; includes high-definition images with full resolution depth information; semantic segmentation (images); point-wise segmentation (point clouds); and detailed annotations for all vehicles and people,outdoor,synthetic,,,(3D) Object Detection;  Autonomous Vehicles,13,0,,
PSI (Pedestrian Situated Intent),PSI: A Pedestrian Behavior Dataset for Socially Intelligent Autonomous Car,2021,arXiv,https://arxiv.org/pdf/2112.02604v2,http//pedestriandataset.situated-intent.net,Pedestrian Behavior Dataset for Socially Intelligent Autonomous Car,110 representative vehicle-pedestrian encounters that happened at mid-block road locations with potential conflicts (sampled from the TASI 110-car naturalistic driving study) -> 110 encounters in mid-block road locations;  two types of labels in PSI: visual and cognitive annotations,outdoor,,,,pedestrian intent prediction; pedestrian trajectory prediction; driver reasoning explanation,5,0,,
R2R (Room-to-Room),Vision-and-Language Navigation: Interpreting visually-grounded navigation instructions in real environments,2018,CVPR,https://arxiv.org/pdf/1711.07280,https//bringmeaspoon.org,dataset for visually-grounded natural language navigation in real buildings. The dataset requires autonomous agents to follow human-generated navigation instructions in previously unseen buildings,22k instructions are available; with an average length of 29 words; Visual imagery for the Matterport3D simulator comes from the Matterport3D dataset; The main advantage of our framework over synthetic environments is that all pixel observations come from natural images of real scenes,indoor,real,natural language instruction; (RGB-D) images for the simulator from Matterport3D,0,Visual Navigation; Vision-Language Navigation,162,2,,c
